Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,10967,13398,15584,349,223,57,41,9,6,,17,4,15,21436,16,3,10,686,3,,,5,,,,1,,,1,,,,,6,5,1,,,,,24,1,28,1,,,,,,,,1,,,,,,,,39,573,1,17,1,3,,4,89,23,25,,,,,1,,152,,,472,,,6,4588,626
2013,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,5126,6847,9429,172,174,45,86,1,2,,23,8,11,12441,3,1,1,678,,,,2,,,,,,,,,,,,1,4,,,,,,12,,15,,,,1,,,,,,,,,,,,,10,210,,2,1,,,1,10,3,13,,,,,6,,89,,,144,,,1,1821,287
2013,JAKARTA BARAT,CENGKARENG,KAPUK,24809,29624,32180,510,256,89,116,6,9,4,123,54,30,51954,29,1,18,1610,12,,,2,,,,,,,6,,,,1,13,9,1,,,,,38,,41,1,,,2,,,,,,,,,,,1,,23,706,2,8,2,,,2,43,32,50,1,,,,8,,294,,,849,,,16,4118,2494
2013,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,14400,16979,19340,343,389,106,93,8,6,,56,20,11,25180,12,,14,2775,3,1,,1,,,,,,,8,,,,,3,3,,,,,,26,,30,1,,,,,,,,,,,,,,,,15,726,5,7,2,1,,1,56,25,68,2,,,,3,1,234,,,434,,,,4307,976
2013,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,2690,3968,4434,292,156,14,9,,3,1,10,4,2,6295,46,4,9,289,,,,3,,,,,,,3,,,,,,6,1,,,,,12,2,11,,,,,,,,,,,,,,,,,14,119,,8,3,4,,2,94,6,8,2,,,,1,,81,,,275,,,3,1638,167
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,2269,3990,4574,353,142,14,18,1,2,,2,3,1,6488,24,2,2,238,,,,7,,,,,,,8,,,,2,6,6,,,,,,16,,6,,,,1,1,1,,,,,,,,,,,30,142,1,5,3,3,1,3,102,3,9,1,2,,,2,,33,,1,143,,,3,1384,179
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,4724,6509,7295,530,314,77,22,5,3,,14,10,4,9794,90,2,13,730,,,,3,,,,,,,4,,,1,,7,19,,,,1,,22,1,22,,1,,1,,,,,,,,,,,,,66,185,1,21,6,3,2,6,153,6,19,7,,,,4,,201,,,341,,,,2235,555
2013,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,4520,7102,7378,460,256,17,20,15,2,1,9,11,1,11355,38,2,9,368,,,,5,,,,,,,3,,,,,9,6,,,,1,,18,9,12,,,,,,,,,,,,,,,,,30,209,,9,5,3,,4,114,5,9,2,3,,,4,,61,,,173,,,34,2578,583
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,4069,5103,5352,484,274,14,14,11,3,2,7,6,1,9270,54,3,3,271,3,,,11,,,,,,,6,,,,,2,11,,,,1,,14,,17,,,,,,1,,,1,,,,,,,,26,149,,17,7,8,6,8,122,9,10,1,1,,,,3,69,,,327,,,1,1951,271
2013,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,5599,9604,9856,189,69,15,9,,2,3,4,3,,14321,3,1,2,224,,1,,2,,,,,,,1,,,,,1,4,,,,,,24,1,12,2,1,,,,,,,,,,,,,,,9,183,1,4,,,,,55,3,5,,,,,2,,64,,,171,,,3,3577,278
