Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Belum Kawin,22164,22164,23505,216,473
2015,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Belum Kawin,13307,13307,13662,144,535
2015,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Belum Kawin,21383,21383,20962,328,1131
2015,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Belum Kawin,22629,22629,22701,349,1191
2015,JAKARTA TIMUR,PULO GADUNG,JATI,Belum Kawin,18033,18033,18461,363,1332
2015,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Belum Kawin,15204,15204,14253,295,945
2015,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Belum Kawin,22380,22380,20125,497,1511
2015,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Belum Kawin,5540,5540,5305,91,255
2015,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,Belum Kawin,12346,12346,11864,185,948
2015,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,Belum Kawin,18648,18648,17795,505,1374
2015,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,Belum Kawin,30793,30793,31375,600,1826
2015,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,Belum Kawin,19710,19710,18873,296,1155
2015,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,Belum Kawin,27999,27999,26834,493,1831
2015,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,Belum Kawin,19453,19453,19148,331,1003
2015,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,Belum Kawin,24829,24829,23929,194,965
2015,JAKARTA TIMUR,KRAMAT JATI,DUKUH,Belum Kawin,13500,13500,13220,232,765
2015,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,Belum Kawin,26074,26074,25380,328,1002
2015,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,Belum Kawin,15803,15803,14834,245,724
2015,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,Belum Kawin,23464,23464,21972,417,1629
2015,JAKARTA TIMUR,KRAMAT JATI,CAWANG,Belum Kawin,19520,19520,18388,336,1292
2015,JAKARTA TIMUR,PASAR REBO,GEDONG,Belum Kawin,19466,19466,19272,414,936
2015,JAKARTA TIMUR,PASAR REBO,BARU,Belum Kawin,13717,13717,12917,183,543
2015,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,Belum Kawin,22236,22236,22172,298,950
2015,JAKARTA TIMUR,PASAR REBO,KALISARI,Belum Kawin,23395,23395,21890,295,1098
2015,JAKARTA TIMUR,PASAR REBO,PEKAYON,Belum Kawin,23339,23339,23161,323,1106
2015,JAKARTA TIMUR,CAKUNG,JATINEGARA,Belum Kawin,46991,46991,50292,220,514
2015,JAKARTA TIMUR,CAKUNG,RAWA TERATE,Belum Kawin,14941,14941,15378,160,517
2015,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,Belum Kawin,53186,53186,51182,635,2568
2015,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,Belum Kawin,32288,32288,32254,220,822
2015,JAKARTA TIMUR,CAKUNG,PULO GEBANG,Belum Kawin,50142,50142,49514,496,1660
2015,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,Belum Kawin,16222,16222,15932,151,629
2015,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,Belum Kawin,32841,32841,32841,222,1043
2015,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,Belum Kawin,32910,32910,32432,524,2183
2015,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,Belum Kawin,33566,33566,34211,428,1497
2015,JAKARTA TIMUR,DUREN SAWIT,KLENDER,Belum Kawin,40106,40106,39299,533,1664
2015,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,Belum Kawin,37940,37940,37933,454,1424
2015,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,Belum Kawin,15695,15695,15806,214,991
2015,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,Belum Kawin,17408,17408,17136,357,1456
2015,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,Belum Kawin,19635,19635,18878,227,873
